2025-08-16 13:38:07,615 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起27.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,616 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起28.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,617 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起29.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,618 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起30.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,618 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起31.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,619 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起32.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,620 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起33.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,621 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起34.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,621 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起35.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,622 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起36.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,623 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起37.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,623 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起38.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,624 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起40.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,625 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起41.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,626 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起42.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,627 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起43.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,628 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起45.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,628 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起46.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,629 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起50.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,630 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起51.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,631 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起52.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,631 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起53.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,632 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起54.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,633 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起55.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,634 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起56.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,634 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起57.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,635 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起58.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,636 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起59.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,636 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起60.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,637 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起61.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,638 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起62.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,639 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起63.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,640 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起64.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,640 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起65.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,641 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起66.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,642 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起68.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,643 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起69.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,671 - __main__ - INFO - Processed 15100 files, 0 changed
2025-08-16 13:38:07,740 - __main__ - INFO - Processed 15200 files, 0 changed
2025-08-16 13:38:07,810 - __main__ - INFO - Processed 15300 files, 0 changed
2025-08-16 13:38:07,881 - __main__ - INFO - Processed 15400 files, 0 changed
2025-08-16 13:38:07,951 - __main__ - INFO - Processed 15500 files, 0 changed
2025-08-16 13:38:08,022 - __main__ - INFO - Processed 15600 files, 0 changed
2025-08-16 13:38:08,093 - __main__ - INFO - Processed 15700 files, 0 changed
2025-08-16 13:38:08,166 - __main__ - INFO - Processed 15800 files, 0 changed
2025-08-16 13:38:08,238 - __main__ - INFO - Processed 15900 files, 0 changed
2025-08-16 13:38:08,312 - __main__ - INFO - Processed 16000 files, 0 changed
2025-08-16 13:38:08,312 - __main__ - INFO - Processed 16000 files (13.90% complete)
2025-08-16 13:38:08,385 - __main__ - INFO - Processed 16100 files, 0 changed
2025-08-16 13:38:08,458 - __main__ - INFO - Processed 16200 files, 0 changed
2025-08-16 13:38:08,532 - __main__ - INFO - Processed 16300 files, 0 changed
2025-08-16 13:38:08,605 - __main__ - INFO - Processed 16400 files, 0 changed
2025-08-16 13:38:08,682 - __main__ - INFO - Processed 16500 files, 0 changed
2025-08-16 13:38:08,759 - __main__ - INFO - Processed 16600 files, 0 changed
